year,month,avg_temp,med_temp,avg_dewpt_temp,med_dewpt_temp,avg_rel_hum_pct,med_rel_hum_pct,avg_wind_dir,med_wind_dir,avg_wind_spd,med_wind_spd,avg_visib,med_visib,avg_stn_press,med_stn_press,avg_hmdx,med_hmdx,avg_wind_chill,med_wind_chill
2012,4,9.467916666666667,9.8,4.67,4.6,72.7125,74,18.358333333333334,15,13.330555555555556,13,28.733611111111113,24.1,101.49418055555556,101.54,26,26,-5,-5
2012,5,12.20766129032258,12.1,5.428360215053764,5.3,64.13306451612904,64,19.771505376344088,21,14.12768817204301,13,35.80577956989247,32.2,101.8120564516129,101.79,26,26,-5,-5
2012,6,14.14861111111111,14.1,8.047916666666667,7.75,67.475,68,16.84722222222222,14,12.858333333333333,13,30.247222222222224,32.2,101.503625,101.475,26,26,-5,-5
2012,7,17.513306451612902,17.1,10.686693548387098,10.5,64.81182795698925,65,16.462365591397848,14,12.536290322580646,13,34.40470430107527,32.2,101.63771505376344,101.68,26.001344086021504,26,-5,-5
2012,8,18.765860215053763,18.6,12.696370967741936,12.7,68.90725806451613,69,19.107526881720432,15,12.513440860215054,13,38.44758064516129,32.2,101.5871370967742,101.58,26.188172043010752,26,-5,-5
2012,9,15.228055555555555,15.1,10.753055555555555,10.9,75.64305555555555,77,21.183333333333334,24,11.2,9,39.402499999999996,48.3,101.94248611111111,101.94,25.995833333333334,26,-5,-5
2012,10,10.38965053763441,10.6,7.323118279569893,7.5,82.15456989247312,85,15.383064516129032,12,12.728494623655914,11,24.50752688172043,24.1,101.52067204301075,101.45,26,26,-5,-5
2012,11,7.355138888888889,7.5,4.898194444444444,5.2,85.0375,88,13.901388888888889,11,13.429166666666667,13,23.297361111111112,24.1,101.40904166666667,101.61,26,26,-4.997222222222222,-5
2012,12,4.403494623655914,4.4,2.4486559139784947,2.6,87.36424731182795,89,14.221774193548388,11,15.30241935483871,13,19.400537634408604,21.700000000000003,101.10061827956989,101.05,26,26,-4.981182795698925,-5
2013,1,2.782795698924731,3.4,1.0475806451612903,1.8,88.68682795698925,91,14.763440860215054,11,9.239247311827956,7,21.248118279569894,24.1,102.2627688172043,102.33,26,26,-4.94758064516129,-5
2013,2,5.486607142857143,5.75,2.0007440476190474,2.1,78.6577380952381,79,15.522321428571429,13,13.599702380952381,11,21.793601190476192,24.1,102.0865625,102.285,26,26,-4.997023809523809,-5
2013,3,7.248521505376344,7.2,2.774193548387097,2.4,73.86155913978494,76,18.469086021505376,14,14.262096774193548,13,30.566935483870967,32.2,101.90711021505376,101.94,26,26,-4.994623655913978,-5
2013,4,9.483333333333333,9.5,4.719861111111111,4.9,73.20972222222223,74,17.966666666666665,15,15.334722222222222,13,31.57888888888889,32.2,101.923,102.03,26,26,-5,-5
2013,5,13.246908602150537,13,8.688440860215053,8.9,74.80376344086021,76,17.932795698924732,15,12.856182795698924,11,32.84475806451613,32.2,101.7740994623656,101.61,26,26,-5,-5
2013,6,16.06013888888889,16,11.78375,11.55,76.42777777777778,77,19.056944444444444,17,12.61111111111111,12.5,34.63097222222222,32.2,101.599125,101.7,26.091666666666665,26,-5,-5
2013,7,18.456720430107527,18.6,13.46989247311828,13.5,73.13306451612904,73,20.184139784946236,22,13.922043010752688,13,41.483333333333334,48.3,101.64263440860215,101.64,26.09005376344086,26,-5,-5
2013,8,18.438306451612902,18.3,14.272177419354838,14.2,77.24462365591398,78,16.698924731182796,14,12.369623655913978,12,33.7502688172043,32.2,101.47995967741936,101.47,26.103494623655912,26,-5,-5
2013,9,15.362777777777778,15.4,13.006666666666666,13.8,86.19305555555556,88,18.245833333333334,16,12.758333333333333,12,28.37847222222222,24.1,101.08573611111112,101.22,26,26,-5,-5
2013,10,9.258198924731182,9.2,7.273655913978494,7.8,88.10887096774194,91,18.611559139784948,15,9.689516129032258,8,23.501209677419354,24.1,102.05663978494624,102.03,26,26,-5,-5
2013,11,6.241944444444444,7,4.0119444444444445,4.8,86.0625,88,16.468055555555555,12,11.684722222222222,9.5,28.373472222222222,24.1,101.89933333333333,102.02,26,26,-4.925,-5
2013,12,2.581048387096774,3.45,-0.2509408602150538,1.7,83.13172043010752,91,12.795698924731182,10,11.942204301075268,11,23.52258064516129,24.1,102.47018817204301,102.59,26,26,-5.524193548387097,-5
2014,1,4.412768817204301,4.65,3.270967741935484,3.5,92.3225806451613,94,18.14516129032258,14,11.424731182795698,9,19.626478494623658,24.1,102.18217741935484,102.37,26,26,-4.935483870967742,-5
2014,2,2.517857142857143,3.3,-1.9626488095238095,0.25,75.16964285714286,81,16.208333333333332,12,14.742559523809524,13,26.35044642857143,24.1,101.43800595238095,101.565,26,26,-5.476190476190476,-5
2014,3,6.910887096774194,7.6,4.034005376344086,4.7,82.52822580645162,84,16.271505376344088,12,15.35752688172043,14,26.051612903225806,24.1,101.48360215053764,101.46,26,26,-4.989247311827957,-5
