year,month,day,date,avg_temp,med_temp,avg_dewpt_temp,med_dewpt_temp,avg_rel_hum_pct,med_rel_hum_pct,avg_wind_dir,med_wind_dir,avg_wind_spd,med_wind_spd,avg_visib,med_visib,avg_stn_press,med_stn_press,avg_hmdx,med_hmdx,avg_wind_chill,med_wind_chill
2012,4,1,2012-04-01,6.566666666666667,6.9,1.5375,1.6,71.66666666666667,75,22.208333333333332,23,17.833333333333332,16,24.27916666666667,32.2,101.12083333333334,101.315,26,26,-5,-5
2012,4,2,2012-04-02,9.708333333333334,9.7,2.779166666666667,2.7,62.70833333333333,62.5,10.583333333333334,10,23.541666666666668,22,26.125,24.1,101.74583333333334,101.94999999999999,26,26,-5,-5
2012,4,3,2012-04-03,7.175,6.9,3.191666666666667,3.45,76.125,76.5,14.5,12.5,15.583333333333334,16,21.700000000000003,24.1,101.01625,100.98,26,26,-5,-5
2012,4,4,2012-04-04,5.545833333333333,6.050000000000001,1.8333333333333333,2.05,77.41666666666667,77,18.958333333333332,23,9.458333333333334,9,29.837500000000002,32.2,101.66,101.65,26,26,-5,-5
2012,4,5,2012-04-05,6.3,6.4,1.6791666666666667,1.45,72.66666666666667,74,20.375,24.5,8.208333333333334,7,30.175000000000004,32.2,101.9925,101.985,26,26,-5,-5
2012,4,6,2012-04-06,6.458333333333334,6.4,1.7541666666666667,1.9,72.25,74,15.083333333333334,12,9,9,26.462500000000002,24.1,102.39666666666666,102.47,26,26,-5,-5
2012,4,7,2012-04-07,7.033333333333333,8.05,0.9916666666666667,0.6499999999999999,66.08333333333333,65,22.291666666666668,27,12.791666666666666,12,38.55833333333334,48.3,102.49833333333333,102.58,26,26,-5,-5
2012,4,8,2012-04-08,8.3875,8.8,2.6583333333333337,4.15,67.375,66.5,24.791666666666668,30,15.083333333333334,19,42.2625,48.3,102.03791666666666,102.14,26,26,-5,-5
2012,4,9,2012-04-09,10.883333333333333,11.15,4.8999999999999995,4.65,67.29166666666667,68,25.333333333333332,29.5,10.5,11,39.579166666666666,32.2,101.38291666666667,101.445,26,26,-5,-5
2012,4,10,2012-04-10,11.745833333333334,11.45,5.779166666666667,6,67.66666666666667,69,23.083333333333332,23,11.333333333333334,10,34.87916666666667,32.2,100.76,100.74000000000001,26,26,-5,-5
2012,4,11,2012-04-11,9.825,9.8,6.441666666666666,6.7,79.41666666666667,80,18.916666666666668,14,6.458333333333333,7,19.837500000000002,24.1,100.4975,100.47,26,26,-5,-5
2012,4,12,2012-04-12,9.645833333333334,9.149999999999999,5.916666666666667,5.85,78.16666666666667,80,15.125,10,13.25,11,21.7,24.1,100.74166666666667,100.67500000000001,26,26,-5,-5
2012,4,13,2012-04-13,9.325,9.649999999999999,5.45,5.45,77.125,76,24.708333333333332,29,13.541666666666666,17,37.225,40.25,101.08166666666666,101.07499999999999,26,26,-5,-5
2012,4,14,2012-04-14,9.95,9.649999999999999,5.458333333333333,5.85,74,76,22.708333333333332,26.5,9.958333333333334,10,32.858333333333334,32.2,101.64541666666666,101.75,26,26,-5,-5
2012,4,15,2012-04-15,10.641666666666667,10.3,4.941666666666666,4.9,68.41666666666667,68,13.25,11,13.708333333333334,14,31.187500000000004,32.2,101.97166666666666,102.03,26,26,-5,-5
2012,4,16,2012-04-16,9.808333333333334,9.4,4.5875,5.25,70.66666666666667,68.5,16,16,20.666666666666668,20,23.462500000000002,24.1,101.48541666666667,101.37,26,26,-5,-5
2012,4,17,2012-04-17,6.945833333333333,6.75,2.2291666666666665,2.5,72.41666666666667,76,10.041666666666666,9,14.041666666666666,15,23.700000000000003,24.1,101.94708333333334,101.945,26,26,-5,-5
2012,4,18,2012-04-18,8.4875,7.300000000000001,4.5625,4.300000000000001,76.91666666666667,80,10.291666666666666,9,14.208333333333334,15,23.433333333333334,24.1,101.55,101.56,26,26,-5,-5
2012,4,19,2012-04-19,8.658333333333333,8.2,4.8125,5.1,77.66666666666667,84,9.416666666666666,9,16,15,20.291666666666668,24.1,101.63208333333333,101.66499999999999,26,26,-5,-5
2012,4,20,2012-04-20,10.5,10.35,3.6875,3.7,63.79166666666667,63,21.916666666666668,24,12.583333333333334,11,37.295833333333334,40.25,102.11541666666666,102.27,26,26,-5,-5
2012,4,21,2012-04-21,9.333333333333334,10.5,3.6791666666666667,4.699999999999999,67.79166666666667,67,24.25,29,12.291666666666666,13,42.93333333333333,48.3,102.03916666666666,102.15,26,26,-5,-5
2012,4,22,2012-04-22,12.504166666666666,12.3,7.325,7.05,71.20833333333333,74,26.625,29.5,12.583333333333334,11,32.2,32.2,101.41958333333334,101.47,26,26,-5,-5
2012,4,23,2012-04-23,12.208333333333334,12.05,9.229166666666666,9,82.08333333333333,82,26.541666666666668,30,16.875,18,31.862500000000004,32.2,101.20958333333333,101.27,26,26,-5,-5
2012,4,24,2012-04-24,10.995833333333334,10.850000000000001,7.920833333333333,8.1,81.41666666666667,83,18.375,13,16.083333333333332,17,22.045833333333334,24.1,101.02416666666667,101.03999999999999,26,26,-5,-5
2012,4,25,2012-04-25,11.8125,11.95,9.308333333333334,9.45,84.70833333333333,85,10.541666666666666,10,17.291666666666668,18,19.233333333333334,19.3,100.48083333333334,100.57,26,26,-5,-5
